Mrittika Dol,Bhumi,Bunot,N,P,K,S,Z,B,Crop
Bajowa,mh,2,0.093,2.72,0.97,208.35,0.52,1.15,Rosun
Bajowa,mh,2,0.09,2.28,0.96,315.65,1.65,1.01,Rosun
Bajowa,mh,2,0.144,2.42,0.82,246.17,1.19,1.05,Rosun
Bajowa,mh,2,0.133,2.85,1.08,222.4,0.47,0.95,Rosun
Bajowa,mh,2,0.151,5.88,0.82,177.56,0.47,0.95,Rosun
Bajowa,mh,2,0.134,13.01,0.6,265.37,1.01,0.73,Rosun
Bajowa,mh,2,0.134,13.55,0.58,225.22,1,0.56,Rosun
Bajowa,mh,2,0.107,5.74,0.78,170.35,0.49,0.81,Rosun
Bajowa,mh,2,0.12,4.84,0.86,143.37,0.46,0.78,Rosun
Bajowa,mh,2,0.193,4.89,0.88,133.84,0.4,0.52,Rosun
Jhalkathi,mh,2,0.155,4.13,0.95,221.35,1.68,1.38,Rosun
Jhalkathi,mh,2,0.162,1.54,0.77,339.94,1.62,0.55,Rosun
Jhalkathi,mh,2,0.124,9.01,0.5,188.01,0.43,0.37,Rosun
Jhalkathi,mh,2,0.165,9.59,0.97,200.21,4.13,1.11,Rosun
Jhalkathi,mh,2,0.189,3.75,0.83,566.56,2.6,0.98,Rosun
Barisal,mh,3,0.086,6.12,1.22,180.93,0.5,2.16,Rosun
Barisal,mh,3,0.12,2.57,1.3,483.28,1.33,2.68,Rosun
Barisal,mh,3,0.11,5.88,1.18,178.13,0.66,1.53,Rosun
Barisal,mh,3,0.096,7.53,1.28,306.05,0.6,1.24,Rosun
Barisal,mh,3,0.117,10.5,0.9,209.4,0.64,0.84,Rosun
Barisal,mh,3,0.103,5.63,0.49,362.79,1.51,0.6,Rosun
Barisal,mh,3,0.151,12.06,0.78,287.18,2.23,0.41,Rosun
Barisal,mh,3,0.172,6.7,0.56,283.66,2.34,0.43,Rosun
Bajowa,mh,2,0.151,5.4,0.66,174.67,1.08,0.96,Rosun
Bajowa,mh,2,0.172,4.2,0.74,241.52,0.66,0.57,Rosun
Bajowa,mh,2,0.148,6.83,1.06,255.27,1.13,1.53,Rosun
Bajowa,mh,2,0.148,6.61,1.19,260.43,0.6,1.51,Rosun
Bajowa,mh,2,0.158,5.11,0.86,334.69,1.53,1.32,Rosun
Bajowa,mh,2,0.151,3.13,0.73,233.75,1.09,1.61,Rosun
Bajowa,mh,2,0.11,4.24,0.69,175.81,1.02,0.36,Rosun
Dumuria,mh,3,0.113,3.02,0.7,95.43,0.58,0.34,Rosun
Dumuria,mh,3,0.165,5.09,0.7,158.19,0.61,0.94,Rosun
Dumuria,mh,3,0.127,4.84,0.7,117.39,0.43,0.51,Rosun
Dumuria,mh,3,0.151,5.14,0.86,163.29,0.87,0.99,Rosun
Dumuria,mh,3,0.134,9.03,0.76,150.8,0.77,0.85,Rosun
Dumuria,mh,3,0.148,5.25,0.89,201.32,0.88,0.91,Rosun
Dumuria,mh,3,0.117,3.37,0.9,519.47,2.05,0.96,Rosun
Dumuria,mh,3,0.124,7.15,0.74,193.39,0.63,0.84,Rosun
Barisal,mh,3,0.155,4.4,0.74,358.38,2.07,0.93,Rosun
Barisal,mh,3,0.151,3.29,0.8,582.36,1.95,0.82,Rosun
Barisal,mh,3,0.148,3.65,0.82,177.13,0.77,0.87,Rosun
Barisal,mh,3,0.141,2.97,1.01,153.3,0.96,0.99,Rosun
Barisal,mh,3,0.155,12.16,0.74,235.17,0.55,0.74,Rosun
Barisal,mh,3,0.172,3.08,0.87,226.33,1.47,0.82,Rosun
Barisal,mh,3,0.169,7.21,0.82,191.16,0.63,1.04,Rosun
Barisal,mh,3,0.158,3.33,0.87,285.89,0.83,0.86,Rosun
Barisal,mh,3,0.158,6.99,0.88,251.17,1.41,1.02,Rosun
Barisal,mh,3,0.141,5.03,0.97,171.2,1.01,1.36,Rosun
Barisal,mh,3,0.141,2.54,1.17,309.63,2.29,1.27,Rosun
Barisal,mh,3,0.158,3.11,0.68,350.93,2.67,1.01,Rosun
Barisal,mh,3,0.127,5.36,0.77,238.7,1.01,0.81,Rosun
Barisal,mh,3,0.182,3.19,0.7,115.27,1.25,0.76,Rosun
Barisal,mh,3,0.144,3.5,0.77,389.81,0.8,1.16,Rosun
Barisal,mh,3,0.151,2.69,0.69,143.92,1.64,1.27,Rosun
Barisal,mh,3,0.103,8.68,1.13,177.06,0.79,1.95,Rosun
Barisal,mh,3,0.144,2.33,0.7,391.33,1.19,1.09,Rosun
Barisal,mh,3,0.12,3.25,0.76,259.53,1.35,0.7,Rosun
Barisal,mh,3,0.165,3.62,0.77,148.6,1.26,0.93,Rosun
Barisal,mh,3,0.213,1.13,0.75,419.59,1.71,0.76,Rosun
Barisal,mh,3,0.169,1.89,0.71,453.92,1.91,1.16,Rosun
Barisal,mh,3,0.127,2.18,0.64,250.06,1.97,1.19,Rosun
Barisal,mh,3,0.158,1.9,0.71,360.05,1.52,1.01,Rosun
Barisal,mh,3,0.158,4.15,0.7,138.37,1.72,1.34,Rosun
Barisal,mh,3,0.158,3.99,0.71,167.48,1.85,1.44,Rosun
Barisal,mh,3,0.148,4.4,0.78,140.9,1.22,1.24,Rosun
Barisal,mh,3,0.196,1.93,0.68,181.1,1.4,0.94,Rosun
Barisal,mh,3,0.172,2.21,0.4,248.72,1.2,1.36,Rosun
Barisal,mh,3,0.193,2.51,0.78,179.63,1.15,1.41,Rosun
Barisal,mh,3,0.196,3.57,1.45,154.38,2.2,0.77,Rosun
Barisal,mh,3,0.134,2.42,0.8,341.65,1.59,1.32,Rosun
Barisal,mh,3,0.144,3.08,1.32,133.86,1.6,2.22,Rosun
Barisal,mh,3,0.175,3.73,1.27,209.47,0.84,2.48,Rosun
Jhalkathi,mh,2,0.151,2.79,0.75,238.64,1.54,0.95,Rosun
Jhalkathi,mh,2,0.165,2.65,1.53,256.25,1.99,1.37,Rosun
Jhalkathi,mh,2,0.172,4.08,1.55,146.29,2.71,1.12,Rosun
Dumuria,mh,3,0.144,3.41,1.27,208.31,1.47,3.3,Rosun
Dumuria,mh,3,0.148,6.34,1.26,203.31,0.87,2.5,Rosun
Dumuria,mh,3,0.107,8.49,0.79,239.36,0.75,1.36,Rosun
Dumuria,mh,3,0.172,15.4,0.58,95.97,1.3,0.87,Rosun
Dumuria,mh,3,0.169,15.97,0.62,313.04,0.62,0.98,Rosun
Dumuria,mh,3,0.165,9.01,0.59,92.45,0.43,0.78,Rosun
Dumuria,mh,3,0.182,11.13,1.18,240.58,2.27,1.83,Rosun
Dumuria,mh,3,0.089,8.16,1.24,186.98,1.6,3.11,Rosun
Dumuria,mh,3,0.117,11.29,1.16,118.98,1.25,2.82,Rosun
Dumuria,mh,3,0.127,9.93,1.01,353.11,0.68,2.12,Rosun
Dumuria,mh,3,0.113,10.69,1.09,330.59,0.58,2.3,Rosun
Dumuria,mh,3,0.124,9.9,0.86,165.73,0.64,2.04,Rosun
Dumuria,mh,3,0.113,8,0.91,93.56,0.47,1.66,Rosun
Dumuria,mh,3,0.141,7.81,1,187.63,0.66,1.92,Rosun
